,timestamp,item,quantity
0,2021-03-01 09:00:00,apples,2
1,2021-03-01 09:00:00,beans,7
2,2021-03-01 09:00:00,buns,28
3,2021-03-01 10:00:00,bananas,9
4,2021-03-01 11:00:00,dish soap,18
5,2021-03-01 11:00:00,apples,16
6,2021-03-01 11:00:00,beef,25
7,2021-03-01 11:00:00,beef,25
8,2021-03-01 11:00:00,cupcakes,3
9,2021-03-01 11:00:00,chicken,14
10,2021-03-01 12:00:00,shaving cream,2
11,2021-03-01 12:00:00,cookies,28
12,2021-03-01 12:00:00,tea,8
13,2021-03-01 12:00:00,shampoo,2
14,2021-03-01 12:00:00,all purpose,27
15,2021-03-01 13:00:00,coffee,5
16,2021-03-01 13:00:00,cupcakes,14
17,2021-03-01 13:00:00,chicken,6
18,2021-03-01 13:00:00,all purpose,15
19,2021-03-01 14:00:00,coffee,9
20,2021-03-01 14:00:00,soda,8
21,2021-03-01 14:00:00,all purpose,14
22,2021-03-01 14:00:00,pork,4
23,2021-03-01 14:00:00,buns,1
24,2021-03-01 15:00:00,chicken,13
25,2021-03-01 15:00:00,cupcakes,3
26,2021-03-01 16:00:00,tilapia,19
27,2021-03-01 16:00:00,cookies,28
28,2021-03-01 16:00:00,buns,27
29,2021-03-01 16:00:00,buns,30
30,2021-03-01 17:00:00,all purpose,9
31,2021-03-01 17:00:00,tilapia,19
32,2021-03-01 17:00:00,ketchup,2
33,2021-03-01 17:00:00,beans,13
34,2021-03-01 18:00:00,loaves,22
35,2021-03-01 18:00:00,chicken,21
36,2021-03-01 18:00:00,toilet paper,9
37,2021-03-01 18:00:00,ketchup,1
38,2021-03-01 18:00:00,coffee,19
39,2021-03-01 18:00:00,tilapia,10
40,2021-03-01 18:00:00,all purpose,14
41,2021-03-01 18:00:00,bananas,10
42,2021-03-01 18:00:00,shampoo,26
43,2021-03-01 19:00:00,ketchup,2
44,2021-03-01 19:00:00,cookies,14
45,2021-03-01 19:00:00,toilet paper,2
46,2021-03-01 19:00:00,soda,7
47,2021-03-01 19:00:00,beans,11
48,2021-03-01 19:00:00,ketchup,2
49,2021-03-01 19:00:00,ketchup,2
50,2021-03-01 20:00:00,coffee,2
51,2021-03-01 20:00:00,loaves,27
52,2021-03-01 20:00:00,buns,26
53,2021-03-01 20:00:00,oranges,15
54,2021-03-01 20:00:00,buns,5
55,2021-03-01 20:00:00,coffee,18
56,2021-03-01 21:00:00,cookies,23
57,2021-03-01 21:00:00,beans,30
58,2021-03-01 21:00:00,loaves,26
59,2021-03-01 21:00:00,oranges,5
60,2021-03-01 21:00:00,bananas,15
61,2021-03-01 21:00:00,hand soap,17
62,2021-03-02 08:00:00,paper towels,22
63,2021-03-02 09:00:00,pork,20
64,2021-03-02 10:00:00,shaving cream,29
65,2021-03-02 10:00:00,tilapia,26
66,2021-03-02 11:00:00,coffee,20
67,2021-03-02 11:00:00,buns,2
68,2021-03-02 11:00:00,all purpose,3
69,2021-03-02 11:00:00,dish soap,27
70,2021-03-02 11:00:00,laundry detergent,2
71,2021-03-02 11:00:00,laundry detergent,12
72,2021-03-02 11:00:00,chicken,21
73,2021-03-02 11:00:00,ketchup,3
74,2021-03-02 12:00:00,tilapia,9
75,2021-03-02 12:00:00,shaving cream,18
76,2021-03-02 13:00:00,loaves,8
77,2021-03-02 13:00:00,pork,4
78,2021-03-02 13:00:00,paper towels,3
79,2021-03-02 13:00:00,apples,13
80,2021-03-02 13:00:00,bananas,18
81,2021-03-02 13:00:00,shaving cream,22
82,2021-03-02 13:00:00,hand soap,13
83,2021-03-02 14:00:00,toilet paper,3
84,2021-03-02 14:00:00,cookies,22
85,2021-03-02 14:00:00,cupcakes,5
86,2021-03-02 14:00:00,coffee,13
87,2021-03-02 14:00:00,tilapia,7
88,2021-03-02 14:00:00,pork,9
89,2021-03-02 15:00:00,dish soap,21
90,2021-03-02 15:00:00,shaving cream,29
91,2021-03-02 15:00:00,apples,8
92,2021-03-02 15:00:00,chicken,19
93,2021-03-02 16:00:00,pork,9
94,2021-03-02 16:00:00,chicken,14
95,2021-03-02 16:00:00,dish soap,13
96,2021-03-02 16:00:00,beef,10
97,2021-03-02 16:00:00,hand soap,3
98,2021-03-02 17:00:00,ketchup,3
99,2021-03-02 17:00:00,bananas,15
100,2021-03-02 18:00:00,tea,12
101,2021-03-02 18:00:00,beef,6
102,2021-03-02 18:00:00,oranges,16
103,2021-03-02 18:00:00,shaving cream,25
104,2021-03-02 18:00:00,tea,5
105,2021-03-02 18:00:00,shaving cream,27
106,2021-03-02 19:00:00,cookies,13
107,2021-03-02 19:00:00,hand soap,21
108,2021-03-02 19:00:00,toilet paper,1
109,2021-03-02 19:00:00,toilet paper,9
110,2021-03-02 19:00:00,bananas,15
111,2021-03-02 19:00:00,chicken,20
112,2021-03-02 19:00:00,all purpose,10
113,2021-03-02 20:00:00,pork,9
114,2021-03-02 20:00:00,shaving cream,30
115,2021-03-02 20:00:00,bananas,19
116,2021-03-02 21:00:00,tea,29
117,2021-03-03 09:00:00,coffee,23
118,2021-03-03 09:00:00,bananas,7
119,2021-03-03 11:00:00,ketchup,1
120,2021-03-03 11:00:00,tea,18
121,2021-03-03 11:00:00,tea,28
122,2021-03-03 12:00:00,oranges,13
123,2021-03-03 12:00:00,shaving cream,20
124,2021-03-03 12:00:00,bananas,3
125,2021-03-03 12:00:00,ketchup,1
126,2021-03-03 13:00:00,loaves,16
127,2021-03-03 13:00:00,ketchup,3
128,2021-03-03 13:00:00,hand soap,8
