,timestamp,item,quantity
0,2021-03-01 09:00:00,oranges,29
1,2021-03-01 09:00:00,laundry detergent,6
2,2021-03-01 09:00:00,shampoo,4
3,2021-03-01 10:00:00,beef,8
4,2021-03-01 10:00:00,coffee,3
5,2021-03-01 10:00:00,cupcakes,11
6,2021-03-01 10:00:00,oranges,23
7,2021-03-01 10:00:00,shaving cream,21
8,2021-03-01 11:00:00,tea,10
9,2021-03-01 11:00:00,chicken,30
10,2021-03-01 11:00:00,hand soap,17
11,2021-03-01 12:00:00,paper towels,20
12,2021-03-01 12:00:00,chicken,15
13,2021-03-01 12:00:00,chicken,21
14,2021-03-01 12:00:00,buns,11
15,2021-03-01 12:00:00,shampoo,8
16,2021-03-01 12:00:00,shampoo,4
17,2021-03-01 12:00:00,laundry detergent,5
18,2021-03-01 13:00:00,tea,5
19,2021-03-01 13:00:00,tea,16
20,2021-03-01 13:00:00,cookies,25
21,2021-03-01 14:00:00,tilapia,2
22,2021-03-01 14:00:00,apples,26
23,2021-03-01 14:00:00,beef,1
24,2021-03-01 14:00:00,cookies,12
25,2021-03-01 14:00:00,bananas,23
26,2021-03-01 14:00:00,oranges,21
27,2021-03-01 14:00:00,buns,20
28,2021-03-01 14:00:00,tilapia,30
29,2021-03-01 14:00:00,shaving cream,14
30,2021-03-01 14:00:00,loaves,8
31,2021-03-01 14:00:00,soda,11
32,2021-03-01 15:00:00,tea,17
33,2021-03-01 15:00:00,dish soap,2
34,2021-03-01 15:00:00,hand soap,12
35,2021-03-01 15:00:00,all purpose,3
36,2021-03-01 15:00:00,laundry detergent,4
37,2021-03-01 15:00:00,oranges,24
38,2021-03-01 16:00:00,ketchup,11
39,2021-03-01 17:00:00,tea,6
40,2021-03-01 18:00:00,shaving cream,3
41,2021-03-01 18:00:00,hand soap,27
42,2021-03-01 18:00:00,loaves,28
43,2021-03-01 18:00:00,buns,26
44,2021-03-01 18:00:00,buns,18
45,2021-03-01 18:00:00,beans,8
46,2021-03-01 18:00:00,paper towels,7
47,2021-03-01 18:00:00,soda,7
48,2021-03-01 18:00:00,laundry detergent,4
49,2021-03-01 18:00:00,paper towels,28
50,2021-03-01 19:00:00,chicken,30
51,2021-03-01 19:00:00,tilapia,30
52,2021-03-01 19:00:00,beef,13
53,2021-03-01 19:00:00,hand soap,19
54,2021-03-01 19:00:00,shaving cream,8
55,2021-03-01 19:00:00,paper towels,4
56,2021-03-01 19:00:00,cupcakes,6
57,2021-03-01 20:00:00,dish soap,2
58,2021-03-01 20:00:00,beans,9
59,2021-03-01 20:00:00,coffee,10
60,2021-03-01 21:00:00,loaves,3
61,2021-03-01 21:00:00,paper towels,5
62,2021-03-01 21:00:00,cupcakes,10
63,2021-03-01 23:00:00,laundry detergent,6
64,2021-03-01 23:00:00,shaving cream,27
65,2021-03-02 08:00:00,coffee,1
66,2021-03-02 09:00:00,tea,26
67,2021-03-02 09:00:00,all purpose,1
68,2021-03-02 09:00:00,ketchup,25
69,2021-03-02 10:00:00,toilet paper,28
70,2021-03-02 10:00:00,bananas,11
71,2021-03-02 10:00:00,coffee,7
72,2021-03-02 10:00:00,shampoo,4
73,2021-03-02 10:00:00,tilapia,13
74,2021-03-02 11:00:00,shaving cream,23
75,2021-03-02 11:00:00,hand soap,16
76,2021-03-02 11:00:00,coffee,6
77,2021-03-02 11:00:00,coffee,5
78,2021-03-02 12:00:00,coffee,5
79,2021-03-02 12:00:00,bananas,7
80,2021-03-02 13:00:00,chicken,21
81,2021-03-02 14:00:00,cookies,29
82,2021-03-02 14:00:00,soda,30
83,2021-03-02 14:00:00,shampoo,8
84,2021-03-02 15:00:00,beef,12
85,2021-03-02 15:00:00,shaving cream,20
86,2021-03-02 15:00:00,all purpose,1
87,2021-03-02 15:00:00,paper towels,15
88,2021-03-02 15:00:00,buns,23
89,2021-03-02 15:00:00,toilet paper,16
90,2021-03-02 16:00:00,bananas,9
91,2021-03-02 16:00:00,loaves,23
92,2021-03-02 16:00:00,tilapia,15
93,2021-03-02 17:00:00,hand soap,18
94,2021-03-02 17:00:00,chicken,14
95,2021-03-02 17:00:00,apples,22
96,2021-03-02 17:00:00,ketchup,9
97,2021-03-02 18:00:00,bananas,18
98,2021-03-02 18:00:00,tilapia,6
99,2021-03-02 18:00:00,paper towels,9
100,2021-03-02 18:00:00,tea,24
101,2021-03-02 18:00:00,hand soap,27
102,2021-03-02 18:00:00,oranges,4
103,2021-03-02 18:00:00,tilapia,12
104,2021-03-02 19:00:00,loaves,26
105,2021-03-02 19:00:00,hand soap,5
106,2021-03-02 19:00:00,cupcakes,12
107,2021-03-02 19:00:00,pork,8
108,2021-03-02 19:00:00,tea,27
109,2021-03-02 19:00:00,hand soap,25
110,2021-03-02 19:00:00,paper towels,3
111,2021-03-02 20:00:00,loaves,21
112,2021-03-02 20:00:00,beans,5
113,2021-03-02 20:00:00,soda,22
114,2021-03-02 21:00:00,paper towels,26
115,2021-03-02 22:00:00,oranges,7
116,2021-03-02 22:00:00,paper towels,14
117,2021-03-02 23:00:00,bananas,2
118,2021-03-03 08:00:00,apples,15
119,2021-03-03 10:00:00,beans,14
120,2021-03-03 10:00:00,tea,1
121,2021-03-03 10:00:00,loaves,6
122,2021-03-03 11:00:00,apples,22
123,2021-03-03 11:00:00,bananas,18
124,2021-03-03 11:00:00,hand soap,9
125,2021-03-03 11:00:00,buns,24
126,2021-03-03 11:00:00,pork,11
127,2021-03-03 11:00:00,pork,22
128,2021-03-03 11:00:00,ketchup,26
129,2021-03-03 11:00:00,bananas,18
130,2021-03-03 11:00:00,chicken,26
131,2021-03-03 12:00:00,beans,5
132,2021-03-03 12:00:00,dish soap,1
133,2021-03-03 13:00:00,oranges,7
134,2021-03-03 13:00:00,chicken,7
135,2021-03-03 13:00:00,dish soap,2
136,2021-03-03 13:00:00,chicken,18
137,2021-03-03 13:00:00,shampoo,9
138,2021-03-03 13:00:00,laundry detergent,4
139,2021-03-03 13:00:00,loaves,29
140,2021-03-03 14:00:00,buns,19
141,2021-03-03 14:00:00,ketchup,12
142,2021-03-03 15:00:00,ketchup,16
143,2021-03-03 15:00:00,all purpose,3
144,2021-03-03 15:00:00,loaves,17
145,2021-03-03 15:00:00,beans,12
