,timestamp,item,quantity
0,2021-03-01 09:00:00,ketchup,2
1,2021-03-01 10:00:00,cookies,10
2,2021-03-01 10:00:00,shampoo,17
3,2021-03-01 10:00:00,chicken,18
4,2021-03-01 11:00:00,beef,28
5,2021-03-01 11:00:00,cookies,10
6,2021-03-01 11:00:00,hand soap,19
7,2021-03-01 11:00:00,tilapia,1
8,2021-03-01 12:00:00,cupcakes,8
9,2021-03-01 12:00:00,dish soap,26
10,2021-03-01 12:00:00,cookies,12
11,2021-03-01 12:00:00,paper towels,4
12,2021-03-01 12:00:00,shampoo,5
13,2021-03-01 12:00:00,beans,4
14,2021-03-01 13:00:00,laundry detergent,8
15,2021-03-01 13:00:00,paper towels,18
16,2021-03-01 13:00:00,laundry detergent,14
17,2021-03-01 13:00:00,tilapia,1
18,2021-03-01 13:00:00,cookies,15
19,2021-03-01 13:00:00,shaving cream,4
20,2021-03-01 13:00:00,all purpose,14
21,2021-03-01 14:00:00,chicken,11
22,2021-03-01 14:00:00,cookies,28
23,2021-03-01 14:00:00,bananas,15
24,2021-03-01 14:00:00,ketchup,4
25,2021-03-01 15:00:00,bananas,21
26,2021-03-01 15:00:00,coffee,17
27,2021-03-01 15:00:00,shampoo,1
28,2021-03-01 16:00:00,hand soap,11
29,2021-03-01 16:00:00,cupcakes,27
30,2021-03-01 16:00:00,dish soap,7
31,2021-03-01 17:00:00,pork,10
32,2021-03-01 17:00:00,ketchup,1
33,2021-03-01 17:00:00,cookies,27
34,2021-03-01 17:00:00,laundry detergent,10
35,2021-03-01 18:00:00,cookies,11
36,2021-03-01 18:00:00,all purpose,24
37,2021-03-01 18:00:00,ketchup,3
38,2021-03-01 18:00:00,buns,5
39,2021-03-01 18:00:00,toilet paper,8
40,2021-03-01 18:00:00,ketchup,4
41,2021-03-01 18:00:00,loaves,1
42,2021-03-01 18:00:00,tilapia,24
43,2021-03-01 19:00:00,paper towels,9
44,2021-03-01 19:00:00,loaves,1
45,2021-03-01 19:00:00,bananas,19
46,2021-03-01 19:00:00,hand soap,30
47,2021-03-01 19:00:00,paper towels,23
48,2021-03-01 20:00:00,bananas,25
49,2021-03-01 20:00:00,cupcakes,10
50,2021-03-01 20:00:00,toilet paper,12
51,2021-03-01 20:00:00,laundry detergent,26
52,2021-03-01 20:00:00,laundry detergent,12
53,2021-03-01 20:00:00,hand soap,22
54,2021-03-01 20:00:00,pork,27
55,2021-03-01 20:00:00,loaves,1
56,2021-03-01 21:00:00,loaves,1
57,2021-03-02 09:00:00,soda,7
58,2021-03-02 09:00:00,ketchup,3
59,2021-03-02 09:00:00,shaving cream,4
60,2021-03-02 09:00:00,chicken,21
61,2021-03-02 09:00:00,loaves,1
62,2021-03-02 10:00:00,pork,20
63,2021-03-02 11:00:00,loaves,1
64,2021-03-02 11:00:00,chicken,11
65,2021-03-02 12:00:00,loaves,1
66,2021-03-02 12:00:00,cupcakes,27
67,2021-03-02 12:00:00,beans,18
68,2021-03-02 12:00:00,buns,4
